,track_id,track_name,track_explicit,track_popularity,album_name,album_release_date_precision,artist_name,audio_acousticness,audio_danceability,audio_duration_ms,audio_energy,audio_instrumentalness,audio_key_1,audio_liveness,audio_loudness,audio_mode_1,audio_speechiness,audio_tempo,audio_time_signature,audio_valence,pitch_0,pitch_1,pitch_2,pitch_3,pitch_4,pitch_5,pitch_6,pitch_7,pitch_8,pitch_9,pitch_10,pitch_11,timbre_0,timbre_1,timbre_2,timbre_3,timbre_4,timbre_5,timbre_6,timbre_7,timbre_8,timbre_9,timbre_10,timbre_11,day,month,year
63,6FT9FZccFD6nE8dMNslz2n,Walk On Water,False,62,AMERICA,day,Thirty Seconds To Mars,9.16e-05,495.0,185467,787.0,0.0,8,167.0,-6.89,1,0.0368,140003.0,4,388.0,0.48237808641975294,0.4637407407407404,0.2725910493827164,0.32622376543209874,0.2504691358024688,0.275220679012346,0.23182561728395054,0.270796296296296,0.4011929012345681,0.3013888888888891,0.4568904320987652,0.35382716049382745,50.383026234567915,59.52834104938271,1.358827160493824,-13.401328703703696,17.146364197530882,-35.18440432098761,21.857239197530866,2.843063271604939,-10.574768518518512,4.587404320987653,-10.40874691358025,-1.715862654320989,6,4,2018
64,7793p4ZXhtbW5RpeRK7rid,Dangerous Night,False,52,AMERICA,day,Thirty Seconds To Mars,0.00212,295.0,199773,715.0,1.55e-06,2,242.0,-6533.0,1,0.0709,86937.0,4,242.0,0.38836137071651045,0.4956573208722743,0.5167632398753894,0.28944704049844233,0.38795950155763254,0.2603644859813085,0.360252336448598,0.3443099688473522,0.2612398753894083,0.31900467289719636,0.23872741433021816,0.3133691588785044,48.55152024922121,46.58292211838009,8.240208722741437,-6.6095264797507784,24.517549844236775,-34.71916199376952,4.480309968847353,1.7575623052959513,-8.335316199376948,4.339518691588785,-8.545110591900322,-6.127580996884737,6,4,2018
65,3jfr0TF6DQcOLat8gGn7E2,Do I Wanna Know?,False,0,AM,day,Arctic Monkeys,186.0,548.0,272394,532.0,0.000263,5,217.0,-7596.0,1,0.0323,85.03,4,405.0,0.41876670716889436,0.34507047387606304,0.3811555285540704,0.4210935601458083,0.4563791008505472,0.4470461725394898,0.32274726609963533,0.5164374240583237,0.352177399756987,0.29059295261239376,0.2953523693803158,0.24001458080194418,47.469382746050954,7.835729040097205,13.297007290400959,-5.606972053462941,-0.2534860267314711,-19.48145808019443,-2.5583742405832313,1.5133061968408263,-4.277003645200481,1.725356014580803,-10.23533049817739,-1.068975698663427,9,9,2013
66,2LlvrdnLa3XbB1b4jYuCnl,R U Mine?,False,0,AM,day,Arctic Monkeys,0.00616,288.0,201726,758.0,0.0,6,303.0,-5692.0,0,0.0371,97094.0,4,619.0,0.47366309341500784,0.6023598774885143,0.3862741194486985,0.2380612557427258,0.2649770290964777,0.272531393568147,0.47960643185298596,0.26652220520673825,0.23029249617151573,0.29440275650842235,0.24079326186830008,0.3742588055130167,51.996840735068886,35.03655589586528,10.417849923430321,-16.172232771822333,3.1746539050535945,-26.012431852986193,2.3243583460949497,6.4302419601837695,-7.0146401225114845,3.577787136294025,-9.302882082695241,-0.4070015313935677,9,9,2013
67,0NdTUS4UiNYCNn5FgVqKQY,Snap Out Of It,False,72,AM,day,Arctic Monkeys,249.0,728.0,193030,638.0,0.0,5,116.0,-6455.0,0,0.0336,130014.0,4,872.0,0.467022491349481,0.485846020761246,0.29765051903114187,0.3915536332179932,0.3699048442906577,0.5840034602076126,0.3401020761245672,0.3487422145328722,0.4269757785467126,0.29987024221453307,0.4150138408304501,0.24992560553633222,48.92374567474047,13.441015570934262,5.202650519031134,-1.599384083044982,26.494899653979232,-18.27244809688582,3.6474913494809704,3.6737733564013846,-11.622607266435983,0.9584515570934272,-9.599044982698961,-2.3778148788927327,9,9,2013
68,3px2rAPu74ltbkf9eZsZ8h,Emperor's New Clothes,False,67,Death of a Bachelor,day,Panic! At The Disco,0.00302,562.0,158667,904.0,0.0,1,0.0433,-4947.0,1,0.0807,94481.0,4,651.0,0.47821265377855837,0.5533567662565901,0.35578207381370813,0.46353954305799644,0.3596291739894549,0.45642355008787344,0.4386537785588752,0.33653954305799677,0.41870650263620407,0.3790000000000004,0.49549033391915703,0.39190861159929696,51.423121265377816,84.50677328646749,13.91843409490334,-12.51834797891037,16.177042179261885,-21.021233743409496,1.243873462214411,5.172485061511422,-12.485676625659055,3.829407732864677,-13.335316344463969,-2.4517398945518476,15,1,2016
69,3n3Ppam7vgaVa1iaRUc9Lp,Mr. Brightside,False,64,Hot Fuss,day,The Killers,0.00119,355.0,222200,918.0,0.0,1,0.0971,-4.36,1,0.0746,148114.0,4,0.24,0.4230314232902032,0.7146081330868768,0.33178558225508314,0.34061922365988856,0.2593733826247688,0.4017929759704252,0.4781293900184841,0.31327726432532405,0.3929260628465804,0.2809260628465804,0.37872643253234756,0.2902218114602586,53.88419593345658,47.327057301293905,19.583870609981528,-18.27322365988906,8.269323475046209,-29.770312384473197,-4.143062846580406,1.451737523105361,-8.780142329020334,2.29867652495379,-9.638804066543447,-8.832377079482436,15,6,2004
70,3yelVZf4p9wDpWjPav5mOn,Rescue Me,False,51,AMERICA,day,Thirty Seconds To Mars,0.00825,478.0,217960,676.0,0.0,11,0.0583,-6155.0,0,0.0708,148039.0,4,416.0,0.37972598870056495,0.39421045197740134,0.47874011299435,0.220069209039548,0.27030508474576304,0.2202175141242937,0.41138841807909643,0.4087288135593225,0.2894223163841808,0.36898587570621466,0.25505932203389836,0.4275197740112995,49.95073587570622,55.62643220338989,31.91692937853108,-1.8767485875706187,19.65966101694916,-26.327241525423695,4.878701977401132,4.38890960451977,-14.078129943502828,-0.3932387005649716,-10.016187853107324,-2.7489576271186444,6,4,2018
71,0jqK7sGTLsHPkQrrcrGuKD,Still Waiting,True,67,Does This Look Infected?,day,Sum 41,0.00105,431.0,158733,0.95,3.63e-05,7,272.0,-4918.0,1,0.26,191936.0,4,0.56,0.5715996677740866,0.4649019933554819,0.4003338870431891,0.3505083056478406,0.4706378737541532,0.35668604651162783,0.5152358803986716,0.5783970099667779,0.4533156146179405,0.43333720930232583,0.38922923588039865,0.5252342192691025,52.24412126245843,59.588136212624605,10.468538205980062,-13.530558139534879,8.577990033222589,-28.621210963455134,0.9424152823920267,3.959282392026579,-2.020749169435213,7.169171096345516,-8.73743355481727,1.646279069767443,1,1,2002
72,5YEHrYUjG9e0VPQLCp6vGo,Misery Business,False,58,Tickets To My Downfall (SOLD OUT Deluxe),day,Machine Gun Kelly,0.000674,461.0,201176,867.0,0.0,11,371.0,-3586.0,1,152.0,170015.0,4,717.0,0.6280483221476509,0.6701073825503356,0.35530067114093944,0.4119838926174497,0.3701422818791947,0.382186577181208,0.4819020134228186,0.3131718120805368,0.3982671140939601,0.30450335570469783,0.32801744966442953,0.46683087248322125,53.18650067114095,50.74975436241609,-17.06290604026845,-17.11912885906037,7.699485906040276,-32.92415436241612,-0.827868456375838,1.7572657718120808,-3.3571973154362458,6.928504697986572,-11.790279194630848,-8.078198657718126,29,9,2020
